year,old_name,new_name,reversed
2004.0,jlb512a,mtchild,1.0
2004.0,jlb512b,spkchild,1.0
2004.0,jlb512c,wrtchild,1.0
2004.0,jlb516a,mtfam,1.0
2004.0,jlb516b,spkfam,1.0
2004.0,jlb516c,wrtfam,1.0
2004.0,jlb520a,mtfriend,1.0
2004.0,jlb520b,spkfriend,1.0
2004.0,jlb520c,wrtfriend,1.0
2006.0,klb009a,mtchild,1.0
2006.0,klb009b,spkchild,1.0
2006.0,klb009c,wrtchild,1.0
2006.0,klb013a,mtfam,1.0
2006.0,klb013b,spkfam,1.0
2006.0,klb013c,wrtfam,1.0
2006.0,klb017a,mtfriend,1.0
2006.0,klb017b,spkfriend,1.0
2006.0,klb017c,wrtfriend,1.0
2008.0,llb009a,mtchild,1.0
2008.0,llb009b,spkchild,1.0
2008.0,llb009c,wrtchild,1.0
2008.0,llb013a,mtfam,1.0
2008.0,llb013b,spkfam,1.0
2008.0,llb013c,wrtfam,1.0
2008.0,llb017a,mtfriend,1.0
2008.0,llb017b,spkfriend,1.0
2008.0,llb017c,wrtfriend,1.0
2010.0,mlb009a,mtchild,1.0
2010.0,mlb009b,spkchild,1.0
2010.0,mlb009c,wrtchild,1.0
2010.0,mlb013a,mtfam,1.0
2010.0,mlb013b,spkfam,1.0
2010.0,mlb013c,wrtfam,1.0
2010.0,mlb017a,mtfriend,1.0
2010.0,mlb017b,spkfriend,1.0
2010.0,mlb017c,wrtfriend,1.0
2012.0,nlb009a,mtchild,1.0
2012.0,nlb009b,spkchild,1.0
2012.0,nlb009c,wrtchild,1.0
2012.0,nlb013a,mtfam,1.0
2012.0,nlb013b,spkfam,1.0
2012.0,nlb013c,wrtfam,1.0
2012.0,nlb017a,mtfriend,1.0
2012.0,nlb017b,spkfriend,1.0
2012.0,nlb017c,wrtfriend,1.0
